question;correct_answer;wrong_answer;"free_response ";difficult_level;tags
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Eritrea_%28Africa_orthographic_projection%29.svg/500px-Eritrea_%28Africa_orthographic_projection%29.svg.png"" height=""300"" />";"Eritrea ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/EU-Estonia.svg/500px-EU-Estonia.svg.png"" height=""300"" />";"Estonia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ethiopia_%28Africa_orthographic_projection%29.svg/500px-Ethiopia_%28Africa_orthographic_projection%29.svg.png"" height=""300"" />";"Etiopia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Fiji_%28orthographic_projection%29.svg/500px-Fiji_%28orthographic_projection%29.svg.png"" height=""300"" />";"Figi ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/PHL_orthographic.svg/500px-PHL_orthographic.svg.png"" height=""300"" />";"Filippine ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/EU-Finland.svg/500px-EU-Finland.svg.png"" height=""300"" />";"Finlandia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/EU-France.svg/500px-EU-France.svg.png"" height=""300"" />";"Francia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gabon_%28orthographic_projection%29.svg/500px-Gabon_%28orthographic_projection%29.svg.png"" height=""300"" />";"Gabon ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Gambia_in_its_region.svg/500px-Gambia_in_its_region.svg.png"" height=""300"" />";"Gambia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Georgia_%28orthographic_projection_with_inset%29.svg/500px-Georgia_%28orthographic_projection_with_inset%29.svg.png"" height=""300"" />";"Georgia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/EU-Germany.svg/500px-EU-Germany.svg.png"" height=""300"" />";"Germania ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ghana_on_the_globe_%28Cape_Verde_centered%29.svg/500px-Ghana_on_the_globe_%28Cape_Verde_centered%29.svg.png"" height=""300"" />";"Ghana ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Jamaica_%28orthographic_projection%29.svg/500px-Jamaica_%28orthographic_projection%29.svg.png"" height=""300"" />";"Giamaica ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Japan_%28orthographic_projection%29.svg/500px-Japan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Giappone ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/LocationDjibouti.svg/500px-LocationDjibouti.svg.png"" height=""300"" />";"Gibuti ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/LocationJordan.svg/500px-LocationJordan.svg.png"" height=""300"" />";"Giordania ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/EU-Greece.svg/500px-EU-Greece.svg.png"" height=""300"" />";"Grecia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Grenada_in_its_region.svg/500px-Grenada_in_its_region.svg.png"" height=""300"" />";"Grenada ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Guatemala_%28orthographic_projection%29.svg/500px-Guatemala_%28orthographic_projection%29.svg.png"" height=""300"" />";"Guatemala ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Location_Guinea_AU_Africa.svg/500px-Location_Guinea_AU_Africa.svg.png"" height=""300"" />";"Guinea ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Location_Equatorial_Guinea_AU_Africa.svg/500px-Location_Equatorial_Guinea_AU_Africa.svg.png"" height=""300"" />";"Guinea Equatoriale ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/LocationGuineaBissau.svg/500px-LocationGuineaBissau.svg.png"" height=""300"" />";"Guinea-Bissau ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Guyana_%28orthographic_projection%29.svg/500px-Guyana_%28orthographic_projection%29.svg.png"" height=""300"" />";"Guyana ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Haiti_%28orthographic_projection%29.svg/500px-Haiti_%28orthographic_projection%29.svg.png"" height=""300"" />";"Haiti ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Honduras_%28orthographic_projection%29.svg/500px-Honduras_%28orthographic_projection%29.svg.png"" height=""300"" />";"Honduras ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/India_%28orthographic_projection%29.svg/500px-India_%28orthographic_projection%29.svg.png"" height=""300"" />";"India ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Indonesia_%28orthographic_projection%29.svg/500px-Indonesia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Indonesia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Iran_%28orthographic_projection%29.svg/500px-Iran_%28orthographic_projection%29.svg.png"" height=""300"" />";"Iran ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Iraq_%28orthographic_projection%29.svg/500px-Iraq_%28orthographic_projection%29.svg.png"" height=""300"" />";"Iraq ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/EU-Ireland.svg/500px-EU-Ireland.svg.png"" height=""300"" />";"Irlanda ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Europe-Iceland.svg/500px-Europe-Iceland.svg.png"" height=""300"" />";"Islanda ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Marshall_Islands_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg/500px-Marshall_Islands_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Isole Marshall ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Solomon_Islands_on_the_globe_%28Oceania_centered%29.svg/500px-Solomon_Islands_on_the_globe_%28Oceania_centered%29.svg.png"" height=""300"" />";"Isole Salomone ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/ISR_orthographic.svg/500px-ISR_orthographic.svg.png"" height=""300"" />";"Israele ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/EU-Italy.svg/500px-EU-Italy.svg.png"" height=""300"" />";"Italia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Kazakhstan_%28orthographic_projection%29.svg/500px-Kazakhstan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Kazakistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kenya_%28orthographic_projection%29.svg/500px-Kenya_%28orthographic_projection%29.svg.png"" height=""300"" />";"Kenya ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kyrgyzstan_%28orthographic_projection%29.svg/500px-Kyrgyzstan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Kirghizistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Kiribati_on_the_globe_%28Polynesia_centered%29.svg/500px-Kiribati_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Kiribati ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kuwait_in_its_region.svg/500px-Kuwait_in_its_region.svg.png"" height=""300"" />";"Kuwait ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Location_Laos_ASEAN.svg/500px-Location_Laos_ASEAN.svg.png"" height=""300"" />";"Laos ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Location_Lesotho_AU_Africa.svg/500px-Location_Lesotho_AU_Africa.svg.png"" height=""300"" />";"Lesotho ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/EU-Latvia.svg/500px-EU-Latvia.svg.png"" height=""300"" />";"Lettonia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Lebanon_%28orthographic_projection%29.svg/500px-Lebanon_%28orthographic_projection%29.svg.png"" height=""300"" />";"Libano ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Location_Liberia_AU_Africa.svg/500px-Location_Liberia_AU_Africa.svg.png"" height=""300"" />";"Liberia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Location_Libya_AU_Africa.svg/500px-Location_Libya_AU_Africa.svg.png"" height=""300"" />";"Libia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/3/36/Location_Liechtenstein_Europe.png"" height=""300"" />";"Liechtenstein ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/EU-Lithuania.svg/500px-EU-Lithuania.svg.png"" height=""300"" />";"Lituania ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/EU-Luxembourg.svg/500px-EU-Luxembourg.svg.png"" height=""300"" />";"Lussemburgo ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Europe-Macedonia.svg/500px-Europe-Macedonia.svg.png"" height=""300"" />";"Macedonia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/MDG_orthographic.svg/500px-MDG_orthographic.svg.png"" height=""300"" />";"Madagascar ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Malawi_%28orthographic_projection%29.svg/500px-Malawi_%28orthographic_projection%29.svg.png"" height=""300"" />";"Malawi ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Maldives_%28orthographic_projection%29.svg/500px-Maldives_%28orthographic_projection%29.svg.png"" height=""300"" />";"Maldive ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Malaysia_%28orthographic_projection%29.svg/500px-Malaysia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Malesia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Mali_de_iure_%28orthographic_projection%29.svg/500px-Mali_de_iure_%28orthographic_projection%29.svg.png"" height=""300"" />";"Mali ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/EU-Malta.svg/500px-EU-Malta.svg.png"" height=""300"" />";"Malta ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Morocco_%28orthographic_projection%29.svg/500px-Morocco_%28orthographic_projection%29.svg.png"" height=""300"" />";"Marocco ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Mauritania_%28orthographic_projection%29.svg/500px-Mauritania_%28orthographic_projection%29.svg.png"" height=""300"" />";"Mauritania ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Mauritius_%28orthographic_projection_with_inset%29.svg/500px-Mauritius_%28orthographic_projection_with_inset%29.svg.png"" height=""300"" />";"Mauritius ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/MEX_orthographic.svg/500px-MEX_orthographic.svg.png"" height=""300"" />";"Messico ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Micronesia_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg/500px-Micronesia_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Stati Federati di Micronesia";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Location_Moldova_Europe.png/548px-Location_Moldova_Europe.png"" height=""300"" />";"Moldavia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Location_Monaco_Europe.png/548px-Location_Monaco_Europe.png"" height=""300"" />";"Monaco ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Mongolia_%28orthographic_projection%29.svg/500px-Mongolia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Mongolia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Europe-Montenegro.svg/500px-Europe-Montenegro.svg.png"" height=""300"" />";"Montenegro ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Mozambique_%28orthographic_projection%29.svg/500px-Mozambique_%28orthographic_projection%29.svg.png"" height=""300"" />";"Mozambico ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Location_Namibia_AU_Africa.svg/500px-Location_Namibia_AU_Africa.svg.png"" height=""300"" />";"Namibia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Nauru_on_the_globe_%28Polynesia_centered%29.svg/500px-Nauru_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Nauru ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nepal_%28orthographic_projection%29.svg/500px-Nepal_%28orthographic_projection%29.svg.png"" height=""300"" />";"Nepal ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Nicaragua_%28orthographic_projection%29.svg/500px-Nicaragua_%28orthographic_projection%29.svg.png"" height=""300"" />";"Nicaragua ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Location_Niger_AU_Africa.svg/500px-Location_Niger_AU_Africa.svg.png"" height=""300"" />";"Niger ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Location_Nigeria_AU_Africa.svg/500px-Location_Nigeria_AU_Africa.svg.png"" height=""300"" />";"Nigeria ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Europe-Norway.svg/500px-Europe-Norway.svg.png"" height=""300"" />";"Norvegia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/NZL_orthographic_NaturalEarth.svg/500px-NZL_orthographic_NaturalEarth.svg.png"" height=""300"" />";"Nuova Zelanda ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Oman_%28orthographic_projection%29.svg/500px-Oman_%28orthographic_projection%29.svg.png"" height=""300"" />";"Oman ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/EU-Netherlands.svg/500px-EU-Netherlands.svg.png"" height=""300"" />";"Paesi Bassi ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Pakistan_%28orthographic_projection%29.svg/500px-Pakistan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Pakistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Palau.png/480px-Palau.png"" height=""300"" />";"Palau ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Panama_%28orthographic_projection%29.svg/500px-Panama_%28orthographic_projection%29.svg.png"" height=""300"" />";"Panamá ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Papua_New_Guinea_%28orthographic_projection%29.svg/500px-Papua_New_Guinea_%28orthographic_projection%29.svg.png"" height=""300"" />";"Papua Nuova Guinea ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Paraguay_%28orthographic_projection%29.svg/500px-Paraguay_%28orthographic_projection%29.svg.png"" height=""300"" />";"Paraguay ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Peru_%28orthographic_projection%29.svg/500px-Peru_%28orthographic_projection%29.svg.png"" height=""300"" />";"Perù ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/EU-Poland.svg/500px-EU-Poland.svg.png"" height=""300"" />";"Polonia ";;;;Europa
