correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Ippopotamo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Prazsky_hroch.jpg/640px-Prazsky_hroch.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Hippopotamus_amphibius_-_hippo_and_friends.jpg/640px-Hippopotamus_amphibius_-_hippo_and_friends.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/1/18/Hippopotamus_amphibius.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Hippopotamus.jpg/800px-Hippopotamus.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Hippopotamus_amphibius_in_Tanzania_2830_Nevit.jpg/640px-Hippopotamus_amphibius_in_Tanzania_2830_Nevit.jpg"" height=""300"">|";;;
Kiwi;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Apteryx_mantelli_-Rotorua%2C_North_Island%2C_New_Zealand-8a.jpg/640px-Apteryx_mantelli_-Rotorua%2C_North_Island%2C_New_Zealand-8a.jpg"" height=""300"">|";;;
Koala;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Koala_climbing_tree.jpg/610px-Koala_climbing_tree.jpg"" height=""300"">|";;;
Leone;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Just_one_lion.jpg/584px-Just_one_lion.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Lion_waiting_in_Namibia.jpg/800px-Lion_waiting_in_Namibia.jpg"" height=""300"">|<img src=""http://vitadadonna.com/wp-content/uploads/2013/01/leone.jpg"" height=""300"">|";;;Tigre
Lince;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Lynx_lynx_poing.jpg/399px-Lynx_lynx_poing.jpg"" height=""300"">|";;;Gatto
Lucertola;10;;;;"<img src=""http://www.ogliosud.net/assets/0000/0770/lucertola_high.jpg?1293116016"" height=""300"">|";;;
Lupo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/2/23/Canis_lupus.jpg"" height=""300"">|";;;
Merlo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/it/1/18/Merlo.JPEG"" height=""300"">|";;;Cornacchia|Corvo
Oca;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Domestic_Goose.jpg/220px-Domestic_Goose.jpg"" height=""300"">|";;;Anatra
Orango;10;;;;"<img src=""http://static.turistipercaso.it/image/s/singapore/singapore_2f6w3.T0.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Orang-utan_bukit_lawang_2006.jpg/640px-Orang-utan_bukit_lawang_2006.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Zoo_z01.jpg/640px-Zoo_z01.jpg"" height=""300"">|";;;"Gorilla|Scimpanz&egrave;"
Orca;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/7/72/Orca_Orlando_Seaworld.jpg"" height=""300"">|";;;Delfino
Ornitorinco;10;;;;"<img src=""http://www.nationalgeographic.it/images/2010/04/27/111002713--fe4bc800-9a23-4def-90a7-9b9e36f62dc0.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Platypus_in_Geelong.jpg/640px-Platypus_in_Geelong.jpg"" height=""300"">|";;;
Otaria;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/2/25/M%C3%A4hnenrobbe_%28Otaria_byronia%29.JPG"" height=""300"">|";;;Foca
Panda;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Grosser_Panda.JPG/640px-Grosser_Panda.JPG"" height=""300"">|";;;
Pellicano;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Australian_Pelican_Back.JPG/616px-Australian_Pelican_Back.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Pelecanus_conspicillatus.jpg/531px-Pelecanus_conspicillatus.jpg"" height=""300"">|";;;
"Pernice di mare";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/7/78/Glareola_pratincola01.jpg"" height=""300"">|";;;
Pettirosso;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/European_Robin_aka.jpg/572px-European_Robin_aka.jpg"" height=""300"">|";;;Cinciallegra
Poiana;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Buteo_buteo_-Scotland-8.jpg/360px-Buteo_buteo_-Scotland-8.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/1/1d/Buteo_buteo_5_%28Marek_Szczepanek%29.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Buteo_6%28loz%29.JPG/400px-Buteo_6%28loz%29.JPG"" height=""300"">|";;;"Aquila Reale"
Rondine;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Hirundo_rustica_1_%28Martin_Mecnarowski%29.jpg/800px-Hirundo_rustica_1_%28Martin_Mecnarowski%29.jpg"" height=""300"">|";;;Cinciallegra
"Scimpanz&egrave;|Scimpanzè";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/f/fb/Lightmatter_chimp.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Gombe_Stream_NP_Jungtier_fressend.jpg/450px-Gombe_Stream_NP_Jungtier_fressend.jpg"" height=""300"">|";;;Gorilla|Orango
Suricato;10;;;;"<img src=""http://vroum52.com/vroumanimaux.img/suricat%5B1%5D.jpg"" height=""300"">|";;;Castoro
"Tartaruga Marina";10;;;;"<img src=""http://petforce1.com/sites/default/files/800px-Caretta_caretta_060417w2_0.jpg"" height=""300"">|";;;"Tartaruga Terrestre"
"Tartaruga Terrestre";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/6/6c/Testudo_hermanni_hermanni_Mallorca_02.jpg"" height=""300"">|";;;"Tartaruga marina"
Tigre;10;;;;"<img src=""http://2.bp.blogspot.com/-6kYrjoQfYXI/TaHQQdrdTxI/AAAAAAAAAx0/oxBYJyHkUcA/s1600/La+Tigre+che+batte+i+Mastini+della+Maraotto.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Tiger_berlin-5.JPG/640px-Tiger_berlin-5.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/2012_Suedchinesischer_Tiger.JPG/616px-2012_Suedchinesischer_Tiger.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Panthera_tigris_tigris.jpg/640px-Panthera_tigris_tigris.jpg"" height=""300"">|";;;
Vespa;10;;;;"<img src=""http://1.bp.blogspot.com/_5tiPFPxLfAo/S82P16j-QjI/AAAAAAAAA0s/nit6fIY_G_4/s1600/fiori+e+vespa+046.jpg"" height=""300"">|";;;Ape
Wallaby;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/7/74/Red_necked_wallaby444.jpg"" height=""300"">|";;;Canguro
Maiale;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/02014._Schweinerasse%2C_Polnisches_wei%C3%9Fe_Zlotniki_Schwein.JPG/640px-02014._Schweinerasse%2C_Polnisches_wei%C3%9Fe_Zlotniki_Schwein.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cochon_truffier.JPG/640px-Cochon_truffier.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Gifu_livestock_research_center_pig_1.JPG/640px-Gifu_livestock_research_center_pig_1.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Jielbeaumadier_cochon_1_agr_paris_2008.jpeg/640px-Jielbeaumadier_cochon_1_agr_paris_2008.jpeg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Pig_wallowing_in_water_at_Ben_Tre_village_in_Vietnam.JPG/640px-Pig_wallowing_in_water_at_Ben_Tre_village_in_Vietnam.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Pigs-21272.jpg/576px-Pigs-21272.jpg"" height=""300"">|";;;
Capra;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Goat_family.jpg/511px-Goat_family.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arapawa_dairy_goat.jpg/510px-Arapawa_dairy_goat.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Baby_goat.JPG/640px-Baby_goat.JPG"" height=""300"">|";;;
Babbuino;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/d/d3/Female_baboons_with_pups.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mantelpavian_female_2_db.jpg/576px-Mantelpavian_female_2_db.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Mantelpavian_male_2_db.jpg/576px-Mantelpavian_male_2_db.jpg"" height=""300"">|";;;
Nasica;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/ProboscisKinabatanganBorneo.jpg/320px-ProboscisKinabatanganBorneo.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Proboscis_Monkey_in_Borneo.jpg/640px-Proboscis_Monkey_in_Borneo.jpg"" height=""300"">|";;;
"Serpente a Sonagli";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Crotalus_atrox_USFWS.jpg/640px-Crotalus_atrox_USFWS.jpg"" height=""300"">|";;;
Cobra;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Indian_cobra.jpg/640px-Indian_cobra.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Snake_in_basket.jpg/360px-Snake_in_basket.jpg"" height=""300"">|";;;
Pecora;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flock_of_sheep.jpg/394px-Flock_of_sheep.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Waldschafe.jpg/640px-Waldschafe.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Ovis_orientalis_aries_%27Skudde%27_%28aka%29.jpg/548px-Ovis_orientalis_aries_%27Skudde%27_%28aka%29.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Deutsches_schwarzk%C3%B6pfiges_Fleischschaf.JPG/640px-Deutsches_schwarzk%C3%B6pfiges_Fleischschaf.JPG"" height=""300"">|";;;
Gallo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Gallus_gallus_male_Kaziranga_0.jpg/600px-Gallus_gallus_male_Kaziranga_0.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Gallus_gallus_male_Kaziranga_1.jpg/600px-Gallus_gallus_male_Kaziranga_1.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Red_Junglefowl_Bandhavgarh.jpg/629px-Red_Junglefowl_Bandhavgarh.jpg"" height=""300"">|";;;
