correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"s. f. [dal gr. διχοτομία «divisione in due parti», – In genere, divisione o suddivisione in due parti (anche in senso fig., per es. la scissione o frattura o una forte divergenza di opinioni in un organo direttivo, in un partito o sindacato, ecc.); bipartizione, separazione netta tra due elementi:";;;;;dicotomia;;;
"Derisione, scherno";;;;;dileggio;;;
dimezzare;;;;;dimidiare;;;
"s. m. (lett.) Disonore, vergogna: quelle parole furono pronunciate a suo disdoro; egli era, anche se innocente, il disdoro del reggimento (BACCHELLI).";;;;;disdoro;;;
"Sequenza di due versi legati da rima, assonanza o altro ";;;;;distico;;;
"forma di società caratterizzata da aspetti negativi ed indesiderati dovuti a fattori come lo sviluppo tecnocratico o l'eccessivo controllo statale";;;;;distopia;;;
"ricco, abbondante";;;;;dovizioso;;;
"nella filosofia stoica conflagrazione universale che dovrebbe avvenire alla fine di ogni anno cosmico";;;;;ecpirosi;;;
"Parte emersa della Terra su cui l'uomo trova le condizioni minime essenziali d'esistenza / La comunità universale dei seguaci di una fede religiosa. Specie quella cattolica";;;;;ecumene;;;
"(lett.) Che divora, consuma.";;;;;edace;;;
"(med.) Accumulo di liquido nello spazio interstiziale dei tessuti che, perciò, si presentano tumefatti.";;;;;"edema ";;;
"Ognuna delle piccole macchie cutanee giallo-brune, causate da eccessiva produzione di melanina, che subiscono variazioni con l'esposizione ai raggi solari; presenti sulle zone scoperte della pelle spec. di soggetti giovani con pelle poco pigmentata. CFR. Lentiggine.";;;;;efelide;;;
"1) nella filosofia di E. Husserl (1859-1938), che concerne l'essenza, che è relativo all'essenza   
2) in psicologia, di percezione di natura mentale che riproduce gli effetti sensoriali di precedenti impressioni";;;;;eidetico;;;
"Giardino di delizie assegnato secondo la mitologia classica alle anime dei virtuoi";;;;;"elisio o eliso";;;
"pensare impegnando seriamente l'intelletto, lavorare assiduamente ad un opera, dedicarsi con zelo a un'attività intellettuale [specialmente ironico]";;;;;elucubrare;;;
"meditazione lunga e minuziosa";;;;;elucubrazione;;;
"(filos.) Ragionamento in forma sillogistico-deduttiva in cui è taciuta una delle due premesse.";;;;;entimema;;;
"breve componimento poetico di contentuo pungente e satririco fiorito specialmente nella letteratura latina";;;;;epigramma;;;
"Teoria della conoscenza / Filosofia della scienz, riflessione attorno ai principi ed al metodo della conoscenza scientifica. ";;;;;epistemologia;;;
"compendio di un opera di notevole vastità";;;;;epitome;;;
"che da il nome ad una città , una famiglia, ad un popolo";;;;;eponimo;;;
"1) nell'antica Roma il denaro pubblico ; il luogo dove lo si conservava
2) L'amministrazione finanziaria dello stato; ";;;;;erario;;;
"il capo o fondatore di un movimento eretico";;;;;eresiarca;;;
"nei confronti di tutti i cittadini";;;;;"erga omnes";;;
"tecnica di confutare con sottile dialettica argomenti o proposizioni senza tenere conto della loro verità o falsità";;;;;eristica;;;
"arte di intendere o interpretare i monumenti, i libri e i documenti antichi ";;;;;ermeneutica;;;
"aborrire, detestare, odiare";;;;;esecrare;;;
"detto di testo in cui il narratore è esterno alle vicende narrate. ";;;;;eterodiegetico;;;
"Forma d'arte del movimento, il cui scopo è rendere visibili le leggi della parola o della musica";;;;;euritmia;;;
"All'improvviso, detto spec. di discorsi che iniziano senza introduzione.";;;;;"ex abrupto";;;
"s. f. (lett.) Fiaccola (est.) Splendore, luce.";;;;;face;;;
"motto arguto e piacevole";;;;;facezia;;;
" 
1 Nel diritto romano, legge limitatrice dei legati che riserva all'erede un quarto dell'eredità.
2 (fig.) Detrazione, tara: i debiti hanno operato una vera falcidia sulle sue sostanze 
3 (est.) Strage, sterminio (anche fig.):";;;;;falcidia;;;
"vuoto, vano, frivolo, leggero 
2) Fuoco ___  = fiammella che appare nei cimiteri prodotta dal'accensione spontanea di sostanze gassose emananti dalla decomposizione dei cadaveri";;;;;fatuo;;;
"1 Ardore di un sentimento, di una passione:   Intensità di partecipazione:  SIN. Ardore, entusiasmo.
2 Impeto di un'azione, di un movimento:   Momento culminante:";;;;;fervore;;;
"1) forma di religiosità primitiva consistente nel culto dei feticci
2) (fig.) adorazione cieca, ammirazione eccessiva di persona o cosa";;;;;feticismo;;;
"1 (med.) Caratterizzato da flemma. 
 2 Che agisce con calma e lentezza, senza mai scomporsi: 
 SIN. Lento, placido. 
 CONTR. Impetuoso.";;;;;flemmatico;;;
" 1 Stato di intensa eccitazione sessuale, spec. degli animali. 
 2 (est., fig.) Desiderio smodato. 
 SIN. Brama, frenesia.";;;;;foia;;;
"1 (lett.) Favola, fiaba: raccontare le fole ai bambini;
2 (est.) Cosa non vera, frottola.";;;;;fola;;;
"(fig., lett.) Istigazione, stimolo, incentivo: il fomite delle ribellioni Causa attiva: essere fomite di malattie.";;;;;fomite;;;
"che precede, annunzia";;;;;foriero;;;
"temuto. ";;;;;formidato;;;
"agg
che emana fulgore, risplendente luminoso";;;;;fulgido;;;
"Giallo rossiccio";;;;;fulvo;;;
"Lamentarsi, mugolare, piangere del cane e della volpe (est.) Dolersi, rammaricarsi";;;;;gagnolare;;;
"Che garrisce / loquace pedante / Festoso rumoroso";;;;;garrulo;;;
"Mostro immaginario delle fiabe spesso evocato per spaventare i bambini.";;;;;gattomammone;;;
"{musica} danza francese in tempo binario, in voga nei secoli XVII e XVIII";;;;;gavotta;;;
"1 Sciroppo denso di zucchero condito con aromi, sughi di frutta, infusione di fiori.
2 (raro, fig.) Cosa troppo dolce  Persona sdolcinata.
3 (raro, fig.) Stato di illusoria contentezza: essere nel giulebbe.";;;;;giulebbe;;;
"di colore azzurro chiaro tra il verde ed il celeste";;;;;glauco;;;
" 1 Presso gli antichi Greci, espressione oscura o difficile di un testo da esplicare  (est.) Parola o locuzione non usuale.
 2 Annotazione marginale o interlineare a testi biblici, letterari, o giuridici, tipica dell'esegesi medievale: glosse a margine; 
 SIN. Chiosa, postilla  (per anton.) Nota esplicativa apposta ai testi giuridici della compilazione giustinianea dai giuristi della scuola di Bologna  (est.) Raccolta delle annotazioni di un glossatore. 
 3 (est.) Nota esplicativa in genere, commento.";;;;;glossa;;;
"conoscenza perfetta delle supreme verità religiose e filosofiche, raggiungibile solo attraverso la rivelazione ";;;;;gnosi;;;
"Indirizzo filosofico religioso diffusosi nel II secolo d.C. che considerava la salvezza spirituale e la beatitudine dipendenti dalla gnosi, intesa come non deducibile dall’esperienza, ma come conoscenza rivelata dei misteri divini e della grandezza di Dio.";;;;;gnosticismo;;;
"1 (lett.) Grugno.
2 (spreg., spec. lett.) Viso umano  ";;;;;grifo;;;
"1) guardare a lungo e in modo minaccioso o mostrando interesse stupore disprezzo o paura";;;;;guatare;;;
"1 (lett.) Ricompensa, rimunerazione: preceda a i servigi il guiderdone (TASSO)  (iron.) Cattiva ricompensa: per tutta ricompensa ricevette un guiderdone di improperi.
2 †Interesse, frutto del capitale.";;;;;guiderdone;;;
"che ha l'aspetto e la trasparenza del vetro";;;;;ialino;;;
"Disciplina che studia la civiltà e la cultura giapponese";;;;;iamatologia;;;
"1 (lett.) Invernale:
2 (bot.) Detto di pianta sempreverde.";;;;;iemale;;;
"supposizione arbitraria priva di fondamento";;;;;illazione;;;
"1 Dottrina filosofica che risolve tutta la realtà nella coscienza e rifiuta pertanto ogni principio di trascendenza. 2 Indirizzo cattolico modernistico che fonda la verità religiosa sulle aspirazioni ed esigenze dell'anima umana e dell'esperienza individuale.";;;;;immanentismo;;;
"(lett.) Subito, senza indugio, nel momento stesso: ";;;;;immantinente;;;
"che si trova nel punto più basso più interno o profondo";;;;;imo;;;
"Agg. 1 Che non è disposto a pentirsi: peccatore impenitente.
2 (est.) Che persiste nelle sue idee e nei suoi propositi: scapolo impenitente  (scherz.) Incorreggibile, ostinato, incallito: bevitore impenitente.";;;;;impenitente;;;
"s. f. Mancanza di pudore Sfacciataggine, sfrontatezza: ha l'impudenza di un vero ciarlatano.";;;;;impudenza;;;
"modo di camminare con passo maestoso e solenne";;;;;incesso;;;
"ridurre in cenere sostanze organiche , cremare";;;;;incinerazione;;;
"Che sta iniziando, che comincia a manifestarsi";;;;;incipiente;;;
"di ciò contro cui non si può lottare,";;;;;ineluttabile;;;
"Di persona che fugge ogni fatica per pigrizia, svogliatezza e sim.: ragazzo infingardo. SIN. Neghittoso, poltrone.";;;;;infingardo;;;
"(anat.) Dare connessione nervosa a un organo o tessuto.";;;;;innervare;;;
"Agg.  Che avviene in modo improvviso e inatteso: accidente, caso inopinato.
 inopinatamente, avv. Inaspettatamente.";;;;;inopinato;;;
"inospitale, selvaggio";;;;;inospite;;;
"(lett.) Diventare insano, folle: insanire per il terribile spavento.";;;;;insanire;;;
"di persona ignorante e sciocca, ma che presume di sapere. ";;;;;insipiente;;;
"(ling.) Figura retorica che consiste nel rappresentare in modo vivo, immediato ed efficace un oggetto, una persona, una situazione e sim., quasi da offrirne l'immagine visiva: ed el s'ergea col petto e con la fronte / com'avesse l'inferno a gran dispitto (DANTE Inf. X, 35-36).";;;;;ipotiposi;;;
"mostro favoloso tra il capro e il cervo";;;;;ircocervo;;;
"Chi adempie al'incarico di portare qualcosa a qualcuno.";;;;;latore;;;
"1 Bianco come il latte
2 †Che contiene o è fatto con latte  Uova lattate, sbattute e mischiate con latte caldo  Minestra lattata, zuppa con brodetto di uova e latte.";;;;;lattato;;;
" 1 (lett.) Bagno, lavaggio  Lavacro di sangue, martirio. 
 2 (lett., fig.) Purificazione: il lavacro delle colpe. 
 3 (lett.) Recipiente per lavarsi  Santo lavacro, il fonte battesimale o il Battesimo stesso. 
 4 (lett.) Corso d'acqua: ";;;;;lavacro;;;
"Nelle credenze religiose dell'antica Roma, anima o spettro vagante di defunto che tornava sulla terra per molestare i vivi";;;;;lemure;;;
"vtr
calmare, mitigare, raddolcire";;;;;lenire;;;
"nell'antica roma mercante di schiave";;;;;lenone;;;
"nella Roma antica, banchetto sacrificale offerto agli dei, le cui statue si ponevano attorno ad una tavola imbandita.";;;;;lettisternio;;;
"Arricchire, spesso senza causa";;;;;locupletare;;;
"s. m. Gioco enigmistico consistente nello scomporre una parola per formare con le sue lettere o le sue sillabe una serie di altre parole di lunghezza inferiore (ad es. da canestro: contesa, strano, antro, oste, ora, ecc.).";;;;;logogrifo;;;
"Agg. (lett.) Che usa grande indulgenza e clemenza (raro) Che sa avere pazienza e sopportazione. SIN. Indulgente, tollerante.";;;;;longanime;;;
"Corazza leggera dei soldati romani";;;;;lorica;;;
"1 (lett.) Che è così liscio da far scivolare. SIN. Sdrucciolevole. 
2 (fig.) Indecente, impudico: SIN. Osceno.";;;;;lubrico;;;
"Supremo magistrato degli Etruschi che deteneva oltre al potere politico e militare anche quello religioso / scherz. Persona molto autorevole";;;;;lucumone;;;
"umidità leggera che precede il sudore";;;;;madore;;;
"1 Imperfezione, insufficienza, inadeguatezza: 
2 Scortesia: ";;;;;manchevolezze;;;
"1 Apparecchio a otre, che aspira e manda fuori l'aria, usato un tempo per attivare il fuoco della fucina, per dar fiato a certi strumenti musicali e sim.: alzare e abbassare il mantice; il mantice dell'organo  Soffiare come un mantice, (fig.) ansimare, sbuffare.
2 Nelle carrozze e nelle vecchie automobili, copertura a soffietto in pelle o altro materiale  Parte dell'intercomunicante a forma di soffietto, a protezione del passaggio fra due carrozze ferroviarie.";;;;;mantico;;;
frac;;;;;marsina;;;
"passaggio apertura specialmente stretta ";;;;;meato;;;
"agg. (lett.) Bugiardo, menzognero: , fallace, ingannevole. SIN. Falso.
";;;;;mendace;;;
"che è proprio dello scrittore e filosofo greco Menippo di Gadara. ";;;;;menippeo;;;
"s. f.
1 (zool.) Sanguisuga
2 (fig.) Persona noiosa e importuna che non si leva mai di torno.
3 (fig., spreg.) Usuraio.
4 (est.) Congegno esplosivo che veniva fissato da sommozzatori sotto la carena della nave nemica, usato durante la prima e la seconda guerra mondiale.";;;;;mignatta;;;
"s. m. e f. Appartenente al popolo di leggendarie origini stanziato nell'antica Tessaglia: ";;;;;mirmidone;;;
"Copricapo alto e diviso nella sommità in due punte con nastri o strisce cadennti sulla nuca portato da vescovi e prelati nelle cerimonie come insegna di autorità e dignità";;;;;mitra;;;
"Intersezione della sfera celeste della semiretta verticale condotta per un punto della terra e orientata verso il basso.";;;;;nadir;;;
"Specie di vestibolo esterno o interno delle chiese, dove si trattenevano i catecumeni, durante la parte sacrificale della messa.";;;;;nartece;;;
"A agg.
1 (lett.) Pigro, lento, infingardo: indole neghittosa.
2 †Oscuro, incerto, vago.";;;;;neghittoso;;;
"1 (meteor.) Nube bassa oscura generalmente apportatrice di pioggia o anche grandine. 2 (poet.) Pioggia: largo nembo / di ... rugiada preziosa e pura (Tasso). 3 (fig., lett.) Grossa schiera di persone, denso sciame di animali spec. in movimento: un nembo di armati.";;;;;nembo;;;
"s. f. 1 Pianta carnivora delle Nepentacee, indo-malese, lianosa, con ascidi a secrezione zuccherina e foglie a sacchetto (Nepenthes): O roride nepenti! (BOITO).
2 Bevanda cui gli antichi Greci attribuivano il potere di togliere il dolore o dare l'oblio.";;;;;nepente;;;
"Cattiveria, malvagità Si consumava di nequizia";;;;;nequizia;;;
"1 Nitidezza e splendore: 
2 (fig.) Chiarezza elegante:";;;;;nitore;;;
"Lett. Proprio, tipico della neve";;;;;nivale;;;
"s. m. Antico strumento navale che permette la rilevazione della latitudine mediante la rilevazione della distanza angolare esistente tra la stella polare e lo zenit della nave.";;;;;notturlabio;;;
"(lett.) Annebbiare, offuscare";;;;;obnubilare;;;
"odorare, olezzare";;;;;olire;;;
"detto di testo in cui il narratore è interno alla fabula; personaggio che fa parte delle vicende narrate. ";;;;;omodiegetico;;;
"Branca della filosofia che studia le modalità fondamentali dell'essere in quanto tale al di là delle sue determinazioni particolari o fenomeniche.";;;;;ontologia;;;
"Rendere per sempre privo di qlcu. o di qlco.";;;;;orbare;;;
"Vaso di terracotta, talvolta anche smaltata e decorata, con corpo panciuto, generalmente a due manici e bocca ristretta.";;;;;orcio;;;
"s. m. (tosc.) Orologio.";;;;;oriolo;;;
"vetro vulcanico effusivo di colore nero con cui gli uomini primitivi fabbricavano armi taglientissime";;;;;ossidiana;;;
"agg. (lett.) Relativo ad assedio ";;;;;"ossidionale ";;;
"arredo sacro che serve a esporre l'Eucaristia all'adorazione dei fedeli";;;;;ostensorio;;;
"Paramento che copre la parte anteriore dell'altare cristiano, in stoffa, legno, marmo, avorio o materiali preziosi variamente ornati.";;;;;paliotto;;;
"Che freme per un sentimento, per una forte emozione";;;;;palpitante;;;
"s. f. (sett.) Fanghiglia, melma, pantano.";;;;;palta;;;
malaria;;;;;paludismo;;;
"1 Opera in prosa o in poesia di tono oratorio e con fini celebrativi: i panegirici di Claudiano, del Marino, di Bossuet. 2 Scritto o discorso in lode di qlcu., spec. della Madonna o di un Santo, o sui misteri cristiani, con intenti glorificatori. 3 (fig.) Eccessiva esaltazione: ha intessuto un panegirico attorno alla sua opera.";;;;;panegirico;;;
"che serve per ornare ed addobbare.";;;;;paramento;;;
"s. f. (ling.) Figura retorica che consiste nell'accostare parole che presentano una somiglianza fonica e a volte anche una parentela etimologica o formale: Trema un ricordo nel ricolmo secchio (MONTALE). SIN. Annominazione, bisticcio.";;;;;paronomasia;;;
"Ritorno del Cristo sulla terra, atteso dai fedeli, sopratutto nei primi secoli cristiani, come prossimo, secondo la promessa dei Vangeli. / Nella filosofia di Platone principio in base al quale le idee sono presenti nelle cose sensibili. ";;;;;parusia;;;
"Piccolo disco d'oro o di argento con il quale il celebrante cattolico copre il calice e sul quale deposita le particole dell'ostia consacrata.";;;;;patena;;;
"cortile interno di case spagnole";;;;;patio;;;
"s. f. Danza italiana nobile e cerimoniosa, in quattro tempi, tipica dell'età barocca, poi stilizzata in forma strumentale.";;;;;pavana;;;
"s. m. (pl. -ghi)
1 (lett.) Alto mare:   Vasta distesa d'acqua.
2 (fig.) †Passione, spec. amorosa, in cui l'animo si perde.
3 (fig.) Insieme di cose fastidiose e spiacevoli in cui si resta intricati: si è invischiato in un pelago di guai. SIN. Ginepraio.";;;;;pelago;;;
"1 (spec. al pl.) Nell'antica Roma, la parte più interna e nascosta della casa o del tempio in cui si conservavano i simulacri dei penati o degli dei. 
2 (fig., lett., spec. al pl.) La parte più intima, più riposta: i penetrali dell'animo, della coscienza; ";;;;;penetrale;;;
vagabondaggio;;;;;peregrinazione;;;
"che non ammette discussioni, obiezioni 2) che non ammette dilazioni";;;;;perentorio;;;
" [dal gr. períneos, attraverso il fr. Perinée; 1712] s. m.
 (anat.) Insieme delle parti molli, fibromuscolari, che chiudono in basso il bacino e quindi l'addome.";;;;;perineo;;;
"Chiaro trasparente anche figurato. Evidente, aperto Ragionamento ";;;;;perspiquo;;;
"1 Molto tenace e costante: 
 CONTR. Incostante. 2 (raro) Ostinato,";;;;;pertinace;;;
"Paramento che il celebrante cattolico indossa durante la messa e durante le processioni, al di sopra del camice, aperto ai fianchi di colore variabile in rapporto alla dedicazione del giorno o alla natura della cerimonia nella liturgia.";;;;;pianeta;;;
"Regione della Terra. ";;;;;plaga;;;
"nella società capitalistica, persona che grazie alla propria ampia disponibilità di capitale influisce in modo determinante sulla vita politica e sociale.";;;;;plutocrate;;;
"Sedere, parte finale del tronco.";;;;;podice;;;
"1) liscio levigato 
2) bello leggiadro 
3) elegante";;;;;polito;;;
"Fessura del suolo da cui sgorga una vena d’acqua; più comunemente, la vena stessa nel punto di sorgenza";;;;;polla;;;
"(lett.) Malvagio, perverso: ";;;;;pravo;;;
