question;correct_answer;wrong_answer;free_response ;difficult_level;tags
Swaziland ;"Mbabane amministrativa e giudiziaria; e Lobamba legislativa ";;;2;Africa
Tagikistan ;Dushanbe ;;;2;Asia
Taiwan;Taipei ;;;2;Asia
Tanzania ;Dodoma ;;;2;Africa
Thailandia ;Bangkok ;;;2;Asia
Timor Est ;Dili ;;;2;Asia
Togo ;Lomé ;;;2;Africa
Tonga ;Nuku'alofa ;;;2;Oceania
Trinidad e Tobago ;Port of Spain ;;;2;Sud America
Tunisia ;Tunisi ;;;2;Africa
Turchia ;Ankara ;;;2;Asia|Europe
Turkmenistan ;Ashgabat ;;;2;Asia
Tuvalu ;Funafuti ;;;2;Oceania
Ucraina ;Kiev ;;;2;Europa
Uganda ;Kampala ;;;2;Africa
Ungheria ;Budapest ;;;2;Europa
Uruguay ;Montevideo ;;;2;Sud America
Uzbekistan ;Tashkent ;;;2;Asia
Vanuatu ;Port Vila ;;;2;Oceania
Venezuela ;Caracas ;;;2;Sud America
Vietnam ;Hanoi ;;;2;Asia
Yemen ;San'a ;;;2;Asia
Zambia ;Lusaka ;;;2;Africa
Zimbabwe ;Harare ;;;2;Africa
